x1;x2;x3;y1;y2
15,00010000;15,00010000;20,00010000;0,11240000;3,53770000
15,00010000;15,00010000;21,00010000;0,10830000;3,10460000
15,00010000;15,00010000;22,00010000;0,10440000;2,71890000
15,00010000;15,00010000;23,00010000;0,10080000;2,37680000
15,00010000;15,00010000;24,00010000;0,09740000;2,07410000
15,00010000;15,00010000;25,00010000;0,09420000;1,80660000
15,00010000;15,00010000;26,00010000;0,09120000;1,57060000
15,00010000;15,00010000;27,00010000;0,08830000;1,36320000
15,00010000;15,00010000;28,00010000;0,08560000;1,18110000
15,00010000;15,00010000;29,00010000;0,08310000;1,02160000
15,00010000;15,00010000;30,00010000;0,08060000;0,88240000
15,00010000;15,00010000;31,00010000;0,07830000;0,76100000
15,00010000;15,00010000;32,00010000;0,07610000;0,65570000
15,00010000;15,00010000;33,00010000;0,07400000;0,56400000
15,00010000;15,00010000;34,00010000;0,07210000;0,48480000
15,00010000;15,00010000;35,00010000;0,07020000;0,41650000
15,00010000;15,00010000;36,00010000;0,06840000;0,35740000
15,00010000;15,00010000;37,00010000;0,06660000;0,30670000
15,00010000;15,00010000;38,00010000;0,06500000;0,26310000
15,00010000;15,00010000;39,00010000;0,06340000;0,22570000
15,00010000;15,00010000;40,00010000;0,06190000;0,19370000
15,00010000;15,00010000;41,00010000;0,06050000;0,16610000
15,00010000;15,00010000;42,00010000;0,05910000;0,14250000
15,00010000;15,00010000;43,00010000;0,05780000;0,12240000
15,00010000;15,00010000;44,00010000;0,05650000;0,10520000
15,00010000;15,00010000;45,00010000;0,05530000;0,09050000
15,00010000;15,00010000;46,00010000;0,05420000;0,07770000
15,00010000;15,00010000;47,00010000;0,05310000;0,06710000
15,00010000;15,00010000;48,00010000;0,05200000;0,05780000
15,00010000;15,00010000;49,00010000;0,05100000;0,05000000
15,00010000;15,00010000;50,00010000;0,05000000;0,04320000
15,00010000;15,00010000;51,00010000;0,04900000;0,03740000
15,00010000;15,00010000;52,00010000;0,04810000;0,03240000
15,00010000;15,00010000;53,00010000;0,04720000;0,02810000
15,00010000;15,00010000;54,00010000;0,04640000;0,02450000
15,00010000;15,00010000;55,00010000;0,04550000;0,02130000
15,00010000;15,00010000;56,00010000;0,04480000;0,01860000
15,00010000;15,00010000;57,00010000;0,04400000;0,01620000
15,00010000;15,00010000;58,00010000;0,04320000;0,01420000
15,00010000;15,00010000;59,00010000;0,04250000;0,01240000
15,00010000;15,00010000;60,00010000;0,04180000;0,01090000
15,00010000;15,00010000;61,00010000;0,04120000;0,00960000
15,00010000;15,00010000;62,00010000;0,04050000;0,00840000
15,00010000;15,00010000;63,00010000;0,03990000;0,00740000
15,00010000;15,00010000;64,00010000;0,03930000;0,00650000
15,00010000;15,00010000;65,00010000;0,03870000;0,00580000
15,00010000;15,00010000;66,00010000;0,03810000;0,00510000
15,00010000;15,00010000;67,00010000;0,03750000;0,00450000
15,00010000;15,00010000;68,00010000;0,03700000;0,00400000
15,00010000;15,00010000;69,00010000;0,03650000;0,00360000
15,00010000;15,00010000;70,00010000;0,03600000;0,00320000
15,00010000;15,00010000;71,00010000;0,03550000;0,00280000
15,00010000;15,00010000;72,00010000;0,03500000;0,00250000
15,00010000;15,00010000;73,00010000;0,03450000;0,00230000
15,00010000;15,00010000;74,00010000;0,03400000;0,00200000
15,00010000;15,00010000;75,00010000;0,03360000;0,00180000
15,00010000;15,00010000;76,00010000;0,03320000;0,00160000
15,00010000;15,00010000;77,00010000;0,03270000;0,00150000
15,00010000;15,00010000;78,00010000;0,03230000;0,00130000
15,00010000;15,00010000;79,00010000;0,03190000;0,00120000
15,00010000;15,00010000;80,00010000;0,03150000;0,00110000
15,00010000;15,00010000;81,00010000;0,03110000;0,00100000
15,00010000;15,00010000;82,00010000;0,03080000;0,00090000
15,00010000;15,00010000;83,00010000;0,03040000;0,00080000
15,00010000;15,00010000;84,00010000;0,03000000;0,00070000
15,00010000;15,00010000;85,00010000;0,02970000;0,00070000
15,00010000;15,00010000;86,00010000;0,02940000;0,00060000
15,00010000;15,00010000;87,00010000;0,02900000;0,00050000
15,00010000;15,00010000;88,00010000;0,02870000;0,00050000
15,00010000;15,00010000;89,00010000;0,02840000;0,00050000
15,00010000;15,00010000;90,00010000;0,02810000;0,00040000
15,00010000;15,00010000;91,00010000;0,02780000;0,00040000
15,00010000;15,00010000;92,00010000;0,02750000;0,00030000
15,00010000;15,00010000;93,00010000;0,02720000;0,00030000
15,00010000;15,00010000;94,00010000;0,02690000;0,00030000
15,00010000;15,00010000;95,00010000;0,02660000;0,00030000
15,00010000;15,00010000;96,00010000;0,02630000;0,00020000
15,00010000;15,00010000;97,00010000;0,02610000;0,00020000
15,00010000;15,00010000;98,00010000;0,02580000;0,00020000
15,00010000;15,00010000;99,00010000;0,02550000;0,00020000
15,00010000;15,00010000;100,00010000;0,02530000;0,00020000
15,00010000;15,00010000;101,00010000;0,02500000;0,00020000
15,00010000;15,00010000;102,00010000;0,02480000;0,00020000
15,00010000;15,00010000;103,00010000;0,02460000;0,00010000
15,00010000;15,00010000;104,00010000;0,02430000;0,00010000
15,00010000;15,00010000;105,00010000;0,02410000;0,00010000
15,00010000;15,00010000;106,00010000;0,02390000;0,00010000
15,00010000;15,00010000;107,00010000;0,02370000;0,00010000
15,00010000;15,00010000;108,00010000;0,02340000;0,00010000
15,00010000;15,00010000;109,00010000;0,02320000;0,00010000
15,00010000;15,00010000;110,00010000;0,02300000;0,00010000
15,00010000;15,00010000;111,00010000;0,02280000;0,00010000
15,00010000;15,00010000;112,00010000;0,02260000;0,00010000
15,00010000;15,00010000;113,00010000;0,02240000;0,00010000
15,00010000;15,00010000;114,00010000;0,02220000;0,00010000
15,00010000;15,00010000;115,00010000;0,02200000;0,00010000
15,00010000;15,00010000;116,00010000;0,02180000;0,00010000
15,00010000;15,00010000;117,00010000;0,02160000;0,00000000
15,00010000;15,00010000;118,00010000;0,02150000;0,00000000
15,00010000;15,00010000;119,00010000;0,02130000;0,00000000
15,00010000;15,00010000;120,00010000;0,02110000;0,00000000
15,00010000;15,00010000;121,00010000;0,02090000;0,00000000
