"x1","x2","x3","yobj"
"15.0001","15.0001","20.0001","0.0064943528632245"
"15.0001","15.0001","21.0001","0.010139760680338"
"15.0001","15.0001","22.0001","0.013393940853345"
"15.0001","15.0001","23.0001","0.016268910613054"
"15.0001","15.0001","24.0001","0.018777173238747"
"15.0001","15.0001","25.0001","0.020944110032846"
"15.0001","15.0001","26.0001","0.022803247711661"
"15.0001","15.0001","27.0001","0.024312350158909"
"15.0001","15.0001","28.0001","0.025582827636561"
"15.0001","15.0001","29.0001","0.026671257853323"
"15.0001","15.0001","30.0001","0.027429393521037"
"15.0001","15.0001","31.0001","0.028043587355052"
"15.0001","15.0001","32.0001","0.028489082446178"
"15.0001","15.0001","33.0001","0.028780124245689"
"15.0001","15.0001","34.0001","0.029027809422605"
"15.0001","15.0001","35.0001","0.029085083214973"
"15.0001","15.0001","36.0001","0.029048847329766"
"15.0001","15.0001","37.0001","0.028850438027144"
"15.0001","15.0001","38.0001","0.028703235114475"
"15.0001","15.0001","39.0001","0.028417187649991"
"15.0001","15.0001","40.0001","0.028115771517568"
"15.0001","15.0001","41.0001","0.027821248382384"
"15.0001","15.0001","42.0001","0.027414482733358"
"15.0001","15.0001","43.0001","0.027029576703919"
"15.0001","15.0001","44.0001","0.026556784014216"
"15.0001","15.0001","45.0001","0.026124829950368"
"15.0001","15.0001","46.0001","0.025743667872099"
"15.0001","15.0001","47.0001","0.025295528224914"
"15.0001","15.0001","48.0001","0.024790628650583"
"15.0001","15.0001","49.0001","0.024350049304476"
"15.0001","15.0001","50.0001","0.023857733249641"
"15.0001","15.0001","51.0001","0.023316958265281"
"15.0001","15.0001","52.0001","0.022860323552243"
"15.0001","15.0001","53.0001","0.022362898623489"
"15.0001","15.0001","54.0001","0.021957469171623"
"15.0001","15.0001","55.0001","0.021387026476708"
"15.0001","15.0001","56.0001","0.021045335989758"
"15.0001","15.0001","57.0001","0.020542978018653"
"15.0001","15.0001","58.0001","0.020012513491385"
"15.0001","15.0001","59.0001","0.019587570988281"
"15.0001","15.0001","60.0001","0.019138559376166"
"15.0001","15.0001","61.0001","0.018798915004322"
"15.0001","15.0001","62.0001","0.018306767285844"
"15.0001","15.0001","63.0001","0.017926922726131"
"15.0001","15.0001","64.0001","0.017528996983044"
"15.0001","15.0001","65.0001","0.017114043166141"
"15.0001","15.0001","66.0001","0.016683483536307"
"15.0001","15.0001","67.0001","0.016238370237307"
"15.0001","15.0001","68.0001","0.015910562278995"
"15.0001","15.0001","69.0001","0.015569770444191"
"15.0001","15.0001","70.0001","0.015216921311652"
"15.0001","15.0001","71.0001","0.014852826457898"
"15.0001","15.0001","72.0001","0.014478194494797"
"15.0001","15.0001","73.0001","0.014093845195892"
"15.0001","15.0001","74.0001","0.013700793668643"
"15.0001","15.0001","75.0001","0.013427843239328"
"15.0001","15.0001","76.0001","0.013146607825707"
"15.0001","15.0001","77.0001","0.012729898681166"
"15.0001","15.0001","78.0001","0.012434070092309"
"15.0001","15.0001","79.0001","0.012131516354164"
"15.0001","15.0001","80.0001","0.011822847690622"
"15.0001","15.0001","81.0001","0.011508584147183"
"15.0001","15.0001","82.0001","0.01131391590505"
"15.0001","15.0001","83.0001","0.010989172788949"
"15.0001","15.0001","84.0001","0.010660307821608"
"15.0001","15.0001","85.0001","0.010450351396743"
"15.0001","15.0001","86.0001","0.010235925350846"
"15.0001","15.0001","87.0001","0.009895457259974"
"15.0001","15.0001","88.0001","0.0096732438571559"
"15.0001","15.0001","89.0001","0.0094548490323356"
"15.0001","15.0001","90.0001","0.0092255131452187"
"15.0001","15.0001","91.0001","0.0089931007564954"
"15.0001","15.0001","92.0001","0.0087580338136194"
"15.0001","15.0001","93.0001","0.0085204785727328"
"15.0001","15.0001","94.0001","0.0082807916283158"
"15.0001","15.0001","95.0001","0.0080392654042663"
"15.0001","15.0001","96.0001","0.0077962479776689"
"15.0001","15.0001","97.0001","0.0076659088215967"
"15.0001","15.0001","98.0001","0.0074194708502115"
"15.0001","15.0001","99.0001","0.0071722988109344"
"15.0001","15.0001","100.0001","0.0070359234369115"
